unique_id,display_id,vehicle_type,direction,cardinal_direction,confidence,frame_detected,timestamp,source,source_type,video_file
9d926cc0,3,Car,eastbound,stationary,0.39692676067352295,4,2025-10-11T14:17:07.035359,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
b6d82baf,2,Car,westbound,stationary,0.38424479961395264,4,2025-10-11T14:17:07.035359,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
2b5e7e2d,4,Mini Truck,westbound,stationary,0.33770546317100525,22,2025-10-11T14:17:08.223877,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
4df2a6e7,5,Mini Truck,westbound,stationary,0.3223121762275696,30,2025-10-11T14:17:08.745208,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
f0494fc8,6,Car,westbound,stationary,0.36975228786468506,33,2025-10-11T14:17:08.946676,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
248ae89b,8,Van,westbound,stationary,0.5302738547325134,67,2025-10-11T14:17:11.144160,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
bc55759e,9,Bus,eastbound,stationary,0.422296404838562,75,2025-10-11T14:17:11.659226,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
9ca93cc1,10,Car,westbound,stationary,0.49977895617485046,86,2025-10-11T14:17:12.375374,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
4647b2b1,11,Mini Truck,westbound,stationary,0.3647291958332062,101,2025-10-11T14:17:13.345020,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
9e3053b1,12,Bus,eastbound,stationary,0.31333521008491516,122,2025-10-11T14:17:14.725175,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
08fdf49e,17,Car,westbound,stationary,0.3157612085342407,178,2025-10-11T14:17:18.359067,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
e1621a7f,18,Bus,eastbound,stationary,0.3444279432296753,203,2025-10-11T14:17:19.975265,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
86fa900b,23,Bus,eastbound,stationary,0.31816303730010986,454,2025-10-11T14:17:36.068224,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
848efc1b,24,Car,eastbound,eastbound,0.5855890512466431,503,2025-10-11T14:17:39.205231,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
34aa44db,26,LCV,eastbound,stationary,0.30093657970428467,560,2025-10-11T14:17:42.845257,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
